Date,signal,stop_loss,tp1,atr
2025-05-12 00:00:00-04:00,NEUTRAL,20948.75,20948.75,597.5605977624608
2025-05-13 00:00:00-04:00,NEUTRAL,21278.0,21278.0,592.627697922285
2025-05-14 00:00:00-04:00,LONG,19984.391058394696,22518.987153284244,563.2435766421219
2025-05-15 00:00:00-04:00,LONG,20032.407768509358,22494.523785192512,547.1368925962561
2025-05-16 00:00:00-04:00,LONG,20201.619713615833,22549.504229107333,521.7521145536664
2025-05-19 00:00:00-04:00,LONG,20238.64687692899,22557.68249845681,515.3412492284045
2025-05-20 00:00:00-04:00,LONG,20203.73460000549,22442.06231999561,497.40615999780425
2025-05-21 00:00:00-04:00,NEUTRAL,21156.75,21156.75,496.57357714081826
2025-05-22 00:00:00-04:00,NEUTRAL,21178.25,21178.25,482.3540359164741
2025-05-23 00:00:00-04:00,NEUTRAL,20975.0,20975.0,484.2573190652974
2025-05-27 00:00:00-04:00,NEUTRAL,21460.5,21460.5,487.8282248463476
2025-05-28 00:00:00-04:00,LONG,20203.318406606693,22320.895274714647,470.5726373573228
2025-05-29 00:00:00-04:00,NEUTRAL,21408.5,21408.5,476.7995918317997
2025-05-30 00:00:00-04:00,NEUTRAL,21376.75,21376.75,468.59962098667114
2025-06-02 00:00:00-04:00,LONG,20372.884808423798,22463.79215326096,464.64607663048037
2025-06-03 00:00:00-04:00,LONG,20562.982322107815,22620.414142313748,457.20707115687463
2025-06-04 00:00:00-04:00,LONG,20676.197870528682,22638.741703577052,436.12085178852647
2025-06-05 00:00:00-04:00,LONG,20492.773022633777,22453.831581892977,435.79079094648887
2025-06-06 00:00:00-04:00,LONG,20705.967806731365,22656.325754614907,433.412877307454
2025-06-09 00:00:00-04:00,LONG,20784.157606250552,22651.373914999556,414.9369574997787
2025-06-10 00:00:00-04:00,LONG,20952.780277232658,22770.275778213876,403.8878891069374
2025-06-11 00:00:00-04:00,LONG,20893.608471716037,22682.61322262717,397.55661131358477
2025-06-12 00:00:00-04:00,LONG,20962.457866593464,22708.53370672523,388.0168533626144
2025-06-13 00:00:00-04:00,NEUTRAL,21644.25,21644.25,393.2656495509991
2025-06-16 00:00:00-04:00,LONG,20939.677956399468,22742.957634880426,400.7288174402135
2025-06-17 00:00:00-04:00,NEUTRAL,21730.5,21730.5,391.17675905162685
2025-06-18 00:00:00-04:00,NEUTRAL,21720.25,21720.25,379.8069905479392
2025-06-20 00:00:00-04:00,LONG,20925.874396942283,22661.103607446174,385.60649122308644
2025-06-23 00:00:00-04:00,LONG,21084.36885966069,22864.804912271447,395.6524561357231
2025-06-24 00:00:00-04:00,LONG,21425.967512542073,23202.175989966345,394.7129949831715
2025-06-25 00:00:00-04:00,LONG,21515.46090450335,23217.431276397318,378.21563819865924
2025-06-26 00:00:00-04:00,LONG,21745.490482753114,23408.25761379751,369.50380689875504
2025-06-27 00:00:00-04:00,LONG,21853.455448270746,23469.935641383403,359.2178206917011
2025-06-30 00:00:00-04:00,NEUTRAL,22893.25,22893.25,346.6486906422939
2025-07-01 00:00:00-04:00,LONG,21830.842325294674,23382.27613976426,344.7630698821301
2025-07-02 00:00:00-04:00,LONG,21993.237516345056,23522.809986923956,339.904993461978
2025-07-03 00:00:00-04:00,NEUTRAL,23062.5,23062.5,335.30463678612244
2025-07-04 00:00:00-04:00,NEUTRAL,22906.75,22906.75,324.24716272997085
2025-07-07 00:00:00-04:00,NEUTRAL,22884.75,22884.75,318.8545082492587
2025-07-08 00:00:00-04:00,NEUTRAL,22896.75,22896.75,307.81132908859735
2025-07-09 00:00:00-04:00,NEUTRAL,23052.75,23052.75,305.00337701084044
2025-07-10 00:00:00-04:00,LONG,22271.501089081976,23606.649128734418,296.69956436720895
2025-07-11 00:00:00-04:00,NEUTRAL,22959.0,22959.0,291.0245954838369
2025-07-14 00:00:00-04:00,LONG,22312.853617626806,23613.617105898553,289.0585529492771
2025-07-15 00:00:00-04:00,LONG,22345.230144939178,23625.96588404866,284.60794202432874
2025-07-16 00:00:00-04:00,LONG,22368.570848872092,23642.843320902324,283.17166045116244
2025-07-17 00:00:00-04:00,LONG,22546.717573952657,23814.425940837875,281.7129704189366
2025-07-18 00:00:00-04:00,LONG,22543.26453295604,23769.03837363517,272.394186817584
2025-07-21 00:00:00-04:00,NEUTRAL,23342.0,23342.0,268.72317347347087
2025-07-22 00:00:00-04:00,LONG,22556.178347293728,23762.307322165016,268.0286610825087
2025-07-23 00:00:00-04:00,LONG,22640.103108201318,23847.267513438943,268.25875671947233
2025-07-24 00:00:00-04:00,LONG,22732.211814758368,23893.730548193307,258.1152740966529
2025-07-25 00:00:00-04:00,LONG,22796.116327989912,23921.35693760807,250.05346880403485
2025-07-28 00:00:00-04:00,NEUTRAL,23491.25,23491.25,243.9067924608895
2025-07-29 00:00:00-04:00,NEUTRAL,23452.0,23452.0,243.00273585654026
2025-07-30 00:00:00-04:00,NEUTRAL,23480.5,23480.5,249.3953975810731
2025-07-31 00:00:00-04:00,NEUTRAL,23365.0,23365.0,271.1885834681393
2025-08-01 00:00:00-04:00,NEUTRAL,22883.75,22883.75,293.96082750612936
2025-08-04 00:00:00-04:00,NEUTRAL,23296.5,23296.5,310.87433982712014
2025-08-05 00:00:00-04:00,NEUTRAL,23132.0,23132.0,311.5083155537544
2025-08-06 00:00:00-04:00,LONG,22628.2217674645,24058.3725860284,317.81129301420054
2025-08-07 00:00:00-04:00,LONG,22697.40235550275,24135.3281155978,319.53905779890056
2025-08-08 00:00:00-04:00,LONG,22923.480758681122,24345.9653930551,316.10769652755056
2025-08-11 00:00:00-04:00,LONG,22864.92856163247,24255.55715069402,309.02857534701127
2025-08-12 00:00:00-04:00,LONG,23156.772950087296,24562.981639930164,312.49081996508187
2025-08-13 00:00:00-04:00,LONG,23188.485596509632,24552.911522792296,303.20576139614747
2025-08-14 00:00:00-04:00,LONG,23188.325911044656,24524.239271164275,296.86963558213694
2025-08-15 00:00:00-04:00,LONG,23074.03477454147,24387.972180366825,291.98609018341284
2025-08-18 00:00:00-04:00,NEUTRAL,23797.75,23797.75,282.75494088459766
2025-08-19 00:00:00-04:00,NEUTRAL,23469.5,23469.5,291.98673082141215
2025-08-20 00:00:00-04:00,NEUTRAL,23324.0,23324.0,303.3091071913113
2025-08-21 00:00:00-04:00,NEUTRAL,23219.75,23219.75,299.51917096336047
2025-08-22 00:00:00-04:00,NEUTRAL,23569.75,23569.75,319.07137303740615
2025-08-25 00:00:00-04:00,LONG,22726.655741163166,24115.52540706947,308.63770353473427
2025-08-26 00:00:00-04:00,LONG,22832.25175965151,24198.89859227879,303.6992961393961
2025-08-27 00:00:00-04:00,LONG,22878.331991104973,24229.08440711602,300.16720355801067
2025-08-28 00:00:00-04:00,LONG,23015.710063168903,24371.631949464878,301.3159747324385
2025-08-29 00:00:00-04:00,NEUTRAL,23461.75,23461.75,306.3291193944072
2025-09-02 00:00:00-04:00,NEUTRAL,23275.0,23275.0,322.1091822948067
2025-09-03 00:00:00-04:00,NEUTRAL,23448.75,23448.75,316.9763835594634
2025-09-04 00:00:00-04:00,LONG,22878.813752451246,24299.348998039004,315.67449901950175
2025-09-05 00:00:00-04:00,LONG,22880.29134156187,24326.9669267505,321.48346337525163
2025-09-08 00:00:00-04:00,LONG,23010.993745736025,24430.75500341118,315.50250170559076
2025-09-09 00:00:00-04:00,LONG,23106.71740675488,24487.826074596098,306.91303729804855
2025-09-10 00:00:00-04:00,LONG,23118.978663415244,24484.767069267804,303.5085346339023
2025-09-11 00:00:00-04:00,LONG,23276.033758885584,24611.122992891535,296.6864964457664
2025-09-12 00:00:00-04:00,LONG,23390.584918965185,24691.382064827852,289.06603241392594
2025-09-15 00:00:00-04:00,LONG,23595.435996181957,24880.301203054434,285.5256015272169
2025-09-16 00:00:00-04:00,LONG,23595.23521074039,24835.01183140769,275.50591570384427
2025-09-17 00:00:00-04:00,LONG,23527.798767116077,24778.26098630714,277.88049315356966
2025-09-18 00:00:00-04:00,LONG,23753.205998036356,25025.885201570916,282.81760078545756
2025-09-19 00:00:00-04:00,LONG,23882.5115963909,25116.51728538728,274.22348644363916
2025-09-22 00:00:00-04:00,LONG,24284.413390845122,25577.8692873239,287.43464366195064
2025-09-23 00:00:00-04:00,NEUTRAL,24827.25,24827.25,284.4393119718113
2025-09-24 00:00:00-04:00,LONG,24027.78374006544,25308.42300794765,284.5865039738248
2025-09-25 00:00:00-04:00,NEUTRAL,24629.25,24629.25,290.758896547123
2025-09-26 00:00:00-04:00,NEUTRAL,24726.75,24726.75,286.24040393661426
2025-09-29 00:00:00-04:00,NEUTRAL,24837.75,24837.75,283.91966079828467
2025-09-30 00:00:00-04:00,LONG,24208.454358861123,25456.3865129111,277.31825645555006
2025-10-01 00:00:00-04:00,LONG,24301.67190465676,25590.162476274592,286.33123813729645
